aquamarine
beige
black
blue
blue-green
blue-violet
bronze
brown
chocolate
cyan
gold
green
grey
indigo
lemon
magenta
maroon
midnight-blue
navy-blue
ochre
orange
pink
purple
red
rose
silver
sky-blue
spring-green
steel-blue
titanium-white
turquoise
violet
white
yellow
