Abbie
Lurleen Lumpkin
Lyla
Mabel Simpson
Madam Wu
Madame Mimi
Madeline Murphy
Madison McKenna
Maggie Simpson
Maggie Simpson, Jr.
Maggie Ziff
Mama Celeste
Manjula Nahasapeemapetilon
Marcia Wallace
Margarita
Marge Fraud
Marge Simpson
Marge Ziff
Margebot
Margerine of Aragon
Margot Citroén
Maria Dominguez
Maria Grazia Cucinotta
Maria Quimby
Marie St. Jacques
Marie Trousseau
Martha 
Martha Prince
Martha Quimby
Martha Stewart
Mary Bailey
Mary Frowning Cloud
Mary Not-Quite-Right Spuckler
Mary Spuckler
Mary Zeke Spuckler
Maw Spuckler
Maxine Lombard
Maya
Meg Griffin
Megan
Melanie Upfoot
Melina Costington
Melody Juniper
Meredith Milgram
Meryl Streep
Mia Farrow
Michelle Obama
Michiko Nakamura
Mignon DeBoeuf
Mililani Osler
Millicent
Milly Anne
Mimi
Mimi Pond
Mimsy Bancroft
Mina bin Laden
Mindy
Mindy Simmons
Minnie Stemple
Miss Goodthighs
Miss Springfield
Miss Viola
Miss Wyoming
Missy Rounds
Mona Simpson
Monique Bouvier
Monique DuBois
Moonhilda
Moselle Graycomb
Mrs. Astor
Mrs. Berrera
Mrs. Borton
Mrs. Clark
Mrs. Dexter
Mrs. Frink
Mrs. Gumble
Mrs. Harvell
Mrs. Hobbes
Mrs. Hoxha
Mrs. Krabapatra
Mrs. Krupt
Mrs. Mackleberry
Mrs. Mann
Mrs. McFierly
Mrs. Muntz
Mrs. Neidelbaum
Mrs. Pennywinkle
Mrs. Pommelhorst
Mrs. Rhenquist
Mrs. Samson
Mrs. Spencer
Mrs. Stemple
Mrs. Szyslak
Mrs. Zörker
Mrs. Zzyzwicz
Ms. Albright
Ms. Barr
Ms. Bloomenstein
Ms. Cantwell
Ms. Dubinsky
Ms. Finch
Ms. Finck
Ms. Kelp
Ms. Marshall
Ms. Mellon
Ms. Nahasapeemapetilon
Ms. No Means No
Ms. Norton
Ms. Pac-Man
Ms. Phipps
Ms. Sinclair
Muriel Chalmers
Musette Poulet
Myra
Myrna Bellamy
Nadia Comăneci
Nana Sophie Mussolini
Nancy Drew
Nancy Spungen
Nanny
Natalie
Nellie Balliwick
Nichelle Nichols
Nicole DeVille
Nikki McKenna
Nina Skalka
Nureen
Ogilvie Stillman
Olive Springfield
Olivia Graycomb
Ooda
Opal
Oxycontin Spuckler
Pahusacheta Nahasapeemapetilon
Paris Texan
Patricia
Patty Bouvier
Paula Paul
Pauline Pfeiffer
Pebbles Flintstone
Penelope L'eau
Philippa Wickerbottom
Phillips
Pippa Simpson
Pippi Longstocking
Pippy Roulette
Poodle Lady
Poonam Nahasapeemapetilon
Poor Violet
Poppy
Portia
Pria Nahasapeemapetilon
Princess Agoomba
Princess Kashmir
Princess Opal
Princess Palomita of Prussia
Princess Penelope
Prison librarian
Proctor Perkins
Professor Wexler
Prudence
Prudence Goodwyfe
Prudence Simpson
Queen Booty Shaker
Queen Elizabeth I
Queen Elizabeth II
Queen Helvetica
Queen Valedictoria
Quenley Woosterfield
Rachel Cohen
Rachel Goodman
Rachel Jordan
Rachel Maddow
Ramona
Rapunzel
Rauberta
Renee
Rita LaFleur
Riva Herrin
Robyn Hannah
Rose Quimby
Rosemary Chalmers
Rowena Bouvier
Roxie
Roz Davis
Rubella Scabies Spuckler
Rumor Spuckler
Ruth Powers
Ruthie
Samantha Stankey
Sara Sloane
Sarah Silverman
Sarah Wiggum
Sascha Spuckler
Sasha
Sashi Nahasapeemapetilon
Scout Spuckler
Selma Bouvier
Sepulveda
Seraphim
Shary Bobbins
Shasta
Shauna Chalmers
Sheila Chow
Sherri Mackleberry
Shirley Gunderson
Shirley Temple
Shoshanna
Sigrin Siguðardóttir
Simone LaValle
Sirloin Staff
Sissy Roulette
Snow White
Solar Panel
Some Tramp He Met In St. Louis
Sophie Jensen
Sophie Krustofsky
Springfield Investorettes
Stacy Lovell
Starla Starbeam
Stephanie Brockman
Sticky-Fingers Stella
Strawberry
Sun Moon
Susan
Suzanne
Suzie
Svetlana
Sylvia
Sylvia Winfield
Sylvie Trousseau
T. R. Francis
Tabitha Vixx
Taffy
Tallulah Winkelman
Tammy
Tanya
Tara
Tara Gunderson
Tattoo Annie
Temperance Barrows
Terri Mackleberry
Théo Bouvier
Thisbe
Tiffany Spuckler
Tilda L'eau
Tina
Tina Ballerina
Titania
Tooshi
Tootsie Bouvier
Tracy
Trixie Simpson
Trudy Zangler
Tuesday L'eau
Tumi
Turanga Leela
Twitta Simpson
Twyla Simpson
Uma Nahasapeemapetilon
Valerie Rothman
Vampire Edna
Velma
Verity Heathbar
Verna Simpson
Veronica
Vicki Valentine
Vinca Trousseau
Virgin Mary statue
Wallace Wilkes-John
Warrior Marge
Wendy Wordsworth
Whitney Spuckler
Wild Beasts
Wilhelmina Dümperdorf
Wilma Flintstone
Winifred Running Goat
Winifred Trout
Witch
Wysteria Bouvier
Xoxochitla
Yuma Hickman
Zelda
Zhenya
Zia Simpson
Zita Graycomb
Zoe Spuckler
Zorina Ovadia
Zsa Zsa DeBoeuf
