Moe's Tavern
Barney's Bowlarama
Springfield Nuclear Power Plant
Springfield Elementary School
The Gilded Truffle
Uncle Moe's Family Feedbag
The Springfield Shopper
Kwik-E-Mart
The Leftorium
Mensa International
The Android's Dungeon & Baseball Card Shop
Duff Brewery
Springfield Retirement Castle
Krusty Burger
VHS Village
Air Springfield
Kentucky Fried Chicken
Speed-E-Mart
The Itchy & Scratchy Store
Globex Corporation
Shapes
Lard Lad Donuts
The China Syndrome
Calmwood Mental Hospital
Ayn Rand School for Tots
Springfield Community College
Springfield A&M
Springfield University
L.A. Body Works
Duff Gardens
Pitiless Pup Attack Dog School
Wee Care
Mr. Burns' Casino
Ye Olde Candlemaker Shoppe
Powell Motors
Uncle Homer's Daycare Center
Classy Joe's
Gulp 'n' Blow
Compu-Global-Hyper-Mega-Net
Sir Putt-A-Lot's Merrie Olde Fun Centre
ZiffCorp
SpringShield
Denver Broncos
Mr. Plow
Sprawl-Mart
Springfield Downs
West Springfield Elementary School
Springfield Box Factory
Springfield Heights Institute of Technology
University of Minnesota Spankalogical Protocol
The Happy Sailor Tattoo Parlor
The Popcorn Shack
Dr. Zitsofsky's Dermatology Clinic
Springfield Mall
Circus of Values
Santa School
Pawn Shop
Dr. Monroe's Family Therapy Center
Herman's Military Antiques
Noise Land Video Arcade
The Jazz Hole
Bob's RV Round-Up
Aztec Theater
The Jerky Hut
Girdles N' Such
The Ear Piercery
International House of Answering Machines
Shorty's
Costumes
Rubber Baby Buggy Bumpers Babysitting Service
Chez Paree
Hair Clinic
Ron's Meat
Royal Majesty
The Penny Loafer
Capital City Duff Brewery
Cha Cha
Coolsville Comics & Toys
Leavelle's Bodyguard Academy
Squeaky Farms Brand Genuine Animal Milk
Ma and Pa's
Bloodbath & Beyond Gun Shop
Dr. Nick Riviera's Blood Bank
Simpson & Son Grease Co.
I Can't Believe It's A Law Firm!
Zesty's
The Singing Sirloin
Duff Stadium
List of Springfield Elementary Faculty Members
Trader Earth's
Burns Slant Drilling Co.
Phineas Q. Butterfat's 5600 Flavors Ice Cream Parlor
Department of Motor Vehicles
Dingo Junction
Royal Majesty for the Obese or Gangly Gentleman
The Vast Waistband
Mt. Swartzwelder Historic Cider Mill
Ah, Fudge! Factory
Mt. Splashmore
The Spaghetti Laboratory
FaceStuffers
Berger's Burgers
Au Naturel
Ajax Steel Mill
Grocery Store
Eatie Gourmet's
Springfield High School
Eye Caramba
You Forgot-Me-Nots
Spruce Caboose
Luigi's
Video Matchmaking
Thai Food Factory
Shelbyville Elementary School
Try-N-Save
The Boob Tubery
Suicide Notes
It Blows
Toys "L" Us
New Bedlam Rest Home for the Emotionally Interesting
The Frying Dutchman
Enriched Learning Center for Gifted Children
Goose's Gags and Gifts
Ice Cream Parlor
Up, Up and Buffet!
Bait Shop
Springfield General Hospital
Chupo's Candy Store
Hailstone's
Stu's Disco
The Aristocrat
Shotkickers
Professor V.J. Cornucopia's Fantastic Foodmagorium and Great American Steakery
Planet Hype
The Hungry Hun
P. Piggly Hogswine's Super-Smorg
She-She Lounge
Diz-Nee Land
Howard's Flowers
The Happy Sumo
King Toot's Music Store
Chalmskinn Productions
Lullabuy$
Catfish Lake Bait Store
Kentucky Fried Panda
Wall E. Weasel's
All Trees $75
Mary
Toys
Trees $60 and Up
X-Mas Trees Slightly Irregular
First Bank of Springfield
Aced Shoe
Tattoos
Candy Most Dandy
Books
Carmel Corn Warehouse
Girlesque
Preschool
The Rusty Barnacle
Shoe City
Bon Dormin
La Rotisserie
Patiserrie
Mapple
Bikini Shop
Ren's Meat
Sox
Krusty's Clown College
Mapple Store
St. Jerome's Catholic School
Springfield Hardware Store
Costington's
Saint Sebastian's School for Wicked Girls
Kid First Industries
General Chang's Taco Italiano
Dead Lobster
We Have Restrooms!
Fortune Megastore
Red Blazer Realty
Springfield Skating Rink
Shøp
Da Buzz Club
Screaming Monkey Medical Research Center
Storytown Village
Itchy & Scratchy Land
House-O-Donuts
The Leaf Garret
Knockers
Bagel Boy
Litters O' Critters Pet Shop
Stern Lecture Plumbing
Gypsy's Shop
Cora's Diner
Motherloving Sugar Corp.
G. Bannister & Associates
Coffee & Tea
Larry's Cane Store
Discount Fashion
Tern For The Wurst Delicatessen
Beachcomber Barber Shop
Gull Things Considered
Groovy Grove Juice Corporation
Euro-Itchy & Scratchy Land
Circuit Circus
Bail Bonds
Bookaccino's
Boris' Car Loft
Edna's Edibles
'Muff Said
R. Crumb's Keep on Muffin'
H.R. Muffin Stuff
Muff Mart
Muffin Store
Donny's Discount Gas
O'Flanagan's Pub
Sit-N-Rotate
All Creatures Great and Cheap
Blockoland
Praiseland
Cameras
Rommelwood Military School
Flancrest Enterprises
Boys R Us
Jazzy Goodtime's
Municipal House of Pancakes
J.R.R. Toykin's
The Pimento Grove
Hairy Shearers
Springfield Dinner Theater
Santa's Village
Itchy & Scratchy International
Dr. Julius Hibbert, M.D. Family Practice
Krustyland
Greaser's Cafe
Builders' Barn
Southern Cracker
Crazy Vaclav's Place of Automobiles
Lamborgotti
Hewlett Fitzpackard
Mick-rosoft
Cisc O'systems
Guinness Brewery
Springfield Preparatory School
Itchy & Scratchy's
Springfield Donuts
Springfield Rent-a-Car
CostMo
Goody New Shoes
Nick's Bowling Shop
Sportacus
The Java Server
Sequel Stop
Monstromart
Honest John's Computers
Skip's Diner
Heinrich's Monocle Shop
Stoner's Pot Palace
Café Kafka
The Wooly Bully
Plaster Mountain Theme Park
Family Fun Center
Pretzel Wagon
Java the Hut
Jittery Joe's Coffee Shop
Sha-Boom Ka-Boom! Cafe
The Copy Jalopy
I.P.O. Friday's
Springfield Hunting Supplies
Tommy Hillclimber
Overpass Diner
Crazy E.T.'s Phone Home
Captain Blip's Zapateria
Fancy Farms
Sprubway
Dregs
Expressions
Springfield Martial Arts Academy
Asia de Cuba
Snot Wheels
Wee Monsieur
Rock Bottom Remainders
Kidstown USA
In 'N' Out Ear Piercing
The Family Jewels
Donner's Party Supplies
Cockamamie's
Waverly Hills Elementary School
Springfield Heights Promenade
Cypress Creek Elementary School
Plunderer Pete's
Sweet Home Alabama
The Tam O'Shanter Connection
Li'l Valu-Mart
Texxon
Playdough Factory
Slide Factory
Pillow Factory
Unnamed district
Planet Springfield
Cloisters Academy
Left-Mart
PetroChem Petrochemical Corporation
Flickeys
The Slaughterhouse
Pest Bye
Family Therapy Center
The League of Extra Horny Gentleman
Discount Frames
Teacher Holding Facility
Zip Zap and 'Za Pizza Arcade
Mayo Clinic
Tuition Academy
The Red Dress Press
Yuk-ingham Palace
Head of Santa School
Semi-Painless Dentistry
Painless Dentistry
Gum for Less
The Creamatorium
Shoes For Tots
Conformco
The Happy Earwig Motel
Hibbert Moneymaking Organization
Optometrist
Trout Hatchery
Marital Stress Hotline
National Ringworm Association
Solar Energy
Madame Chao's
Blocko
Martian Vacations
University of Michigan
Computer Hospital
Montgomery Burns Institute For Soul Extraction
Pool Sharks
Guidance Counselor
Male Applicant Reader
Female Applicant Reader
Springfield University Board Member
General Hospital Receptionist
Universal Studios
Econo-Save
Paint
Lackluster Video
El Chemistri
Haile Delicious Ethiopian Food
Krusty Fried Chicken
Monoclecrafters
Classy Girls Strip Club
Vulgari
1501 East Oak Street
The Loin King
Johnson's Teleporters
Springfield General Hospital Nurse
Springfield Extension School
Medieval Times
Teenage Pasteland
Springfield Lumber
Springfield Dry Cleaners
Top It Off
Stomach Staples Center
Styx and Stones Records
Adult Education Annex
Splitsville Icecream Sundaes
Broken-Home Chimney Repair
Painful Memories Party Supplies
Animal Psychotherapy Center
99¢ Shrink
Quack In The Box
Sit 'n' Weep
