59	24	Brother, Can You Spare Two Dimes?	2639	http://simpsons.wikia.com/wiki/Brother,_Can_You_Spare_Two_Dimes%3F
60	1	Kamp Krusty	2801	http://simpsons.wikia.com/wiki/Kamp_Krusty
61	2	A Streetcar Named Marge	2802	http://simpsons.wikia.com/wiki/A_Streetcar_Named_Marge
62	3	Homer the Heretic	2803	http://simpsons.wikia.com/wiki/Homer_the_Heretic
63	4	Lisa the Beauty Queen	2804	http://simpsons.wikia.com/wiki/Lisa_the_Beauty_Queen
64	5	Treehouse of Horror III	2805	http://simpsons.wikia.com/wiki/Treehouse_of_Horror_III
65	6	Itchy & Scratchy: The Movie	2806	http://simpsons.wikia.com/wiki/Itchy_%26_Scratchy:_The_Movie
66	7	Marge Gets a Job	2807	http://simpsons.wikia.com/wiki/Marge_Gets_a_Job
67	8	New Kid on the Block	2808	http://simpsons.wikia.com/wiki/New_Kid_on_the_Block
68	9	Mr. Plow	2809	http://simpsons.wikia.com/wiki/Mr._Plow
69	10	Lisa's First Word	2810	http://simpsons.wikia.com/wiki/Lisa%27s_First_Word
70	11	Homer's Triple Bypass	2811	http://simpsons.wikia.com/wiki/Homer%27s_Triple_Bypass
71	12	Marge vs. the Monorail	2812	http://simpsons.wikia.com/wiki/Marge_vs._the_Monorail
72	13	Selma's Choice	2813	http://simpsons.wikia.com/wiki/Selma%27s_Choice
73	14	Brother from the Same Planet	2814	http://simpsons.wikia.com/wiki/Brother_from_the_Same_Planet
74	15	I Love Lisa	2815	http://simpsons.wikia.com/wiki/I_Love_Lisa
75	16	Duffless	2816	http://simpsons.wikia.com/wiki/Duffless
76	17	Last Exit to Springfield	2817	http://simpsons.wikia.com/wiki/Last_Exit_to_Springfield
77	18	So It's Come to This: A Simpsons Clip Show	2818	http://simpsons.wikia.com/wiki/So_It%27s_Come_to_This:_A_Simpsons_Clip_Show
78	19	The Front	2819	http://simpsons.wikia.com/wiki/The_Front
79	20	Whacking Day	2820	http://simpsons.wikia.com/wiki/Whacking_Day
80	21	Marge in Chains	2821	http://simpsons.wikia.com/wiki/Marge_in_Chains
81	22	Krusty Gets Kancelled	2958	http://simpsons.wikia.com/wiki/Krusty_Gets_Kancelled
82	1	Homer's Barbershop Quartet	1887	http://simpsons.wikia.com/wiki/Homer%27s_Barbershop_Quartet
83	2	Cape Feare	1724	http://simpsons.wikia.com/wiki/Cape_Feare
84	3	Homer Goes to College	1937	http://simpsons.wikia.com/wiki/Homer_Goes_to_College
85	4	Rosebud	1725	http://simpsons.wikia.com/wiki/Rosebud
86	5	Treehouse of Horror IV	1914	http://simpsons.wikia.com/wiki/Treehouse_of_Horror_IV
87	6	Marge on the Lam	1938	http://simpsons.wikia.com/wiki/Marge_on_the_Lam
88	7	Bart's Inner Child	1905	http://simpsons.wikia.com/wiki/Bart%27s_Inner_Child
89	8	Boy-Scoutz 'N the Hood	1916	http://simpsons.wikia.com/wiki/Boy-Scoutz_%27n_the_Hood
90	9	The Last Temptation of Homer	2365	http://simpsons.wikia.com/wiki/The_Last_Temptation_of_Homer
91	10	$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)	1403	http://simpsons.wikia.com/wiki/$pringfield_(Or,_How_I_Learned_to_Stop_Worrying_and_Love_Legalized_Gambling)
92	11	Homer the Vigilante	2354	http://simpsons.wikia.com/wiki/Homer_the_Vigilante
93	12	Bart Gets Famous	1906	http://simpsons.wikia.com/wiki/Bart_Gets_Famous
94	13	Homer and Apu	2823	http://simpsons.wikia.com/wiki/Homer_and_Apu
