Anastasia
Annie 
Baboons
Baby Bear
Bambi
Barking Dog
Bart Junior 
Baz
Bernie 
Big Bad Wolf
Binky
Bitey
Blinky
Bluella
Bobo 
Bongo
Brian Griffin
Bunny Foofoo
Butterfly
Captain Jack
Cheaty
Chew My Shoe
Chirpy Boy
Choppy
Cinnamon
Coltrane
Crash Bandicoot
Crippler
Dash Dingo
Disgruntled Goat 
Dog O' War
Dog of Death
Dr. Zaius
Dragon
Dragon Kearney
Duff McShark
Duncan
Eeymore
Esquilax
Father Bear
Feral Things
Fido
Fluffy
Flushie
Flying Head Nelson
Freedom
Frog Prince
Froggie
Furious D
Furious George
Galahad
Gamera
Gary the Unicorn
Geech
General Sherman
Gentle Ben
Giuseppe
Godzilla
Gorilla the Conqueror
Guard Dog
Hendrix
Henry  
Hercules
Homer's Lhasa Apso
Humphrey Boa-Gart
Hypnotoad
Itchy
Itchy Jr.
Jub-Jub
Kermit  
King Homer 
King Snorky
Koopa Troopa
Krudler
Ku Klux Clam
Laddie
Lancelot Link
Loch Ness  
Lord Evilton
Lots-o'-Huggin' 
Lou 
Lumpy
Mantis Burns
Mauler
Maurice
McGriff 
Menthol Moose
Miss Piggy
Mister Peabody
Mojo 
Moose
Mothra
Mr. Bananas
Mr. Kongo
Mr. Mooch
Mr. Teeny
Mrs. Bananas
Mrs. Scratchy
Neil Patrick Hairless
Newshound
Nibbles
Odd Koala
Officer Sniffy
Parasite
Petroleus Rex
Pikachu
Pinchy
Pinky  
Plopper
Pokey
Poochie
Princess
Professor Pigskin
Quadruped
Rabbit 
Raymond Bird
Robopet
Rodan
Rosa Barks
Rufus
Santa's Little Helper
Scarlet Tanager
Scary Vultures
Scraps 
Scrat
Scratchy
Scratchy Jr.
Screamapillar
Screwy
Serpent
She's the Fastest
Sheldon
Singing Trout
Sir Galahad
Sir Gallahan
Sir Oinks-A-Lot
Skin Mites
Slarg Fish
Slimu
Slithers
Smiley
Snowball 
Snowball I
Snowball II
Snowball III
Snowball V
Snuffy
Sonic the Hedgehog
Sparklemon
Spirit Guide
SpongeBob SquarePants
Stampy
Stewart
Stewart Duck
Stingy
Stinky
Winckels
Strangles
Superdude
Tauren Mel
The Bear
The Fat in the Hat
The Mighty Chimpopo
The Raven 
Three-Eyed Lobster
Tom  
Toot-Toot
Tortoise
Sam
Trix 
Skinner
Two-nicorn
Uncle Ant
Uni-clams
Unicorn Wizard
Whirlwind
White Chocolate Rabbit
White Dragon
Wiggle Puppy
Wiggum's Little Helper
Wile E. Coyote
Worker
Yeti
