2087	Apu Nahasapeemapetilon	http://simpsons.wikia.com/wiki/Apu_Nahasapeemapetilon
2102	Blinky	http://simpsons.wikia.com/wiki/Blinky
2103	Jub-Jub	http://simpsons.wikia.com/wiki/Jub-Jub
2104	Mojo the Helper Monkey	http://simpsons.wikia.com/wiki/Mojo_the_Helper_Monkey
2105	Pinchy	http://simpsons.wikia.com/wiki/Pinchy
2107	Julie Kavner	http://simpsons.wikia.com/wiki/Julie_Kavner
2127	Nick Riviera	http://simpsons.wikia.com/wiki/Nick_Riviera
2128	Doris Freedman	http://simpsons.wikia.com/wiki/Doris_Freedman
2132	Channel 6	http://simpsons.wikia.com/wiki/Channel_6
2135	Springfield's State	http://simpsons.wikia.com/wiki/Springfield%27s_State
2136	Shelbyville	http://simpsons.wikia.com/wiki/Shelbyville
2137	Baby Seal Beach	http://simpsons.wikia.com/wiki/Baby_Seal_Beach
2138	Bloodbath Gulch	http://simpsons.wikia.com/wiki/Bloodbath_Gulch
2139	Screamville	http://simpsons.wikia.com/wiki/Screamville
2140	Spittle County	http://simpsons.wikia.com/wiki/Spittle_County
2141	Catfish Lake	http://simpsons.wikia.com/wiki/Catfish_Lake
2142	Stampy	http://simpsons.wikia.com/wiki/Stampy
2152	Ralph Wiggum	http://simpsons.wikia.com/wiki/Ralph_Wiggum
2153	Bumblebee Man	http://simpsons.wikia.com/wiki/Bumblebee_Man
2155	Lionel Hutz	http://simpsons.wikia.com/wiki/Lionel_Hutz
2156	Rod Flanders	http://simpsons.wikia.com/wiki/Rod_Flanders
2157	Todd Flanders	http://simpsons.wikia.com/wiki/Todd_Flanders
2158	Elizabeth Hoover	http://simpsons.wikia.com/wiki/Elizabeth_Hoover
2159	J. Loren Pryor	http://simpsons.wikia.com/wiki/J._Loren_Pryor
2160	Mindy Simmons	http://simpsons.wikia.com/wiki/Mindy_Simmons
2161	Charlie (SNPP)	http://simpsons.wikia.com/wiki/Charlie_(SNPP)
2162	Dewey Largo	http://simpsons.wikia.com/wiki/Dewey_Largo
2163	Leopold	http://simpsons.wikia.com/wiki/Leopold
2166	James L. Brooks	http://simpsons.wikia.com/wiki/James_L._Brooks
2169	Al Jean	http://simpsons.wikia.com/wiki/Al_Jean
