ant
ape
baby seal
bear
bighorn sheep 
bird
cat
cobra
cow
coyote 
dog
dolphin
duck
elephant
falcon
fish
frog
gorilla 
guinea pig 
hamster
horse
lobster 
monkey
mouse
octopus
ostrich
parrot 
phython
pigeon
pony
rabbit
raccoon
rat
raven
red-headed woodpecker
scarlet tanager
sheepdog
snake
snake
squirrel  
tortoise 
toucan 
tree lizard 
uni-clam 
volture
vulture 
yorkshire terrier
